Neuron 1,Neuron 2,Weight
AVFL,AVFR,23
AVFR,AVFL,23
DVC,PVPR,13
PVPR,DVC,13
AVAL,DA06,10
AVAL,VA08,10
DA06,AVAL,10
VA08,AVAL,10
AQR,PVPR,9
AVL,DVC,9
DVC,AVL,9
PVPR,AQR,9
AQR,PVPL,7
AS09,DVB,7
AVAR,VA11,7
AVBL,VB08,7
DVB,AS09,7
PVPL,AQR,7
VA11,AVAR,7
VB08,AVBL,7
VD01,VD02,7
VD02,VD01,7
AS07,AVAL,6
AVAL,AS07,6
AVAL,VA06,6
AVAR,DA01,6
AVBR,VB09,6
AVKR,PVPL,6
DA01,AVAR,6
DB02,DB03,6
DB03,DB02,6
PVPL,AVKR,6
VA06,AVAL,6
VB09,AVBR,6
VC01,VC02,6
VC02,VC01,6
AS07,AVAR,5
ASKL,PVQL,5
AVAL,AVAR,5
AVAL,PVCR,5
AVAL,VA05,5
AVAL,VB09,5
AVAR,AS07,5
AVAR,AVAL,5
AVAR,DA05,5
DA05,AVAR,5
DVC,VD01,5
PVCL,PVCR,5
PVCR,AVAL,5
PVCR,PVCL,5
PVQL,ASKL,5
VA05,AVAL,5
VB09,AVAL,5
VD01,DVC,5
VD09,VD10,5
VD10,VD09,5
AS08,AVAL,4
AS09,AVAL,4
ASKR,PVQR,4
AVAL,AS08,4
AVAL,AS09,4
AVAL,SABD,4
AVAL,VA02,4
AVAR,VA07,4
AVAR,VA08,4
AVAR,VB09,4
AVJL,AVJR,4
AVJR,AVJL,4
AVKL,VB01,4
DD01,VD01,4
DVC,VD10,4
PQR,PVPL,4
PVPL,PQR,4
PVQR,ASKR,4
SABD,AVAL,4
VA02,AVAL,4
VA07,AVAR,4
VA08,AVAR,4
VA09,VB09,4
VB01,AVKL,4
VB01,VB02,4
VB02,VB01,4
VB09,AVAR,4
VB09,VA09,4
VD01,DD01,4
VD10,DVC,4
AIBL,RIGR,3
AIBR,RIGL,3
AS01,AVAL,3
AS08,AVAR,3
AVAL,AS01,3
AVAL,DA04,3
AVAL,DB06,3
AVAL,RIMR,3
AVAL,VA01,3
AVAR,AS08,3
AVAR,PVCR,3
AVAR,SABVL,3
AVAR,VA04,3
AVAR,VA05,3
AVBL,AVBR,3
AVBL,VB02,3
